"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"GT";"Goodyear Tire & Rubber";"Consumer Discretionary";30.11;0.40013617;7102638;1.37;0.44
"GWW";"Grainger (W.W.) Inc.";"Industrials";269.43;0.78177464;1331586;10.021;5.06
"HAL";"Halliburton Co.";"Energy";47.92;2.6124141;12278292;-0.532;0.72
"HAS";"Hasbro Inc.";"Consumer Discretionary";96.63;-1.1255562;1312963;3.12;2.28
"HBAN";"Huntington Bancshares";"Financials";15.48;0.4542485;10565223;1;0.35
"HBI";"Hanesbrands Inc";"Consumer Discretionary";19.69;2.232608;11778529;0.164;0.6
"HCA";"HCA Holdings";"Health Care";98.28;0.44971636;1512175;5.95;NA
"HCN";"Welltower Inc.";"Real Estate";54.27;-0.62259686;4115633;2.474;3.48
"HCP";"HCP Inc.";"Real Estate";22.85;-1.5510501;6324376;1.131;1.48
"HD";"Home Depot";"Consumer Discretionary";184.06;-0.03258612;6783710;7.2;3.56
"HES";"Hess Corporation";"Energy";44.14;4.7958226;6991404;-13.12;1
"HIG";"Hartford Financial Svc.Gp.";"Financials";53.5;-0.8892174;3342096;-8.609;0.94
"HII";"Huntington Ingalls Industries";"Industrials";234.93;2.0059898;438813;13.284;2.4
"HLT";"Hilton Worldwide Holdings Inc";"Consumer Discretionary";81.82;1.7282101;2435861;0.098;0.66
"HOG";"Harley-Davidson";"Consumer Discretionary";48.35;1.0871767;1897782;3.02;1.46
"HOLX";"Hologic";"Health Care";38.04;0.76821434;4473250;2.64;NA
"HON";"Honeywell Int'l Inc.";"Industrials";149.47;1.061533;3455480;2.14;2.74
"HP";"Helmerich & Payne";"Energy";64.64;1.6032702;2826121;3.701;2.8
"HPE";"Hewlett Packard Enterprise";"Information Technology";15.75;2.9411752;7683571;0.205;0.26
"HPQ";"HP Inc.";"Information Technology";20.41;1.4917912;12507871;1.48;0.531
"HRB";"Block H&R";"Financials";25.13;0.842693;4988961;1.871;0.92
"HRL";"Hormel Foods Corp.";"Consumer Staples";33.07;0.7924362;2382224;1.57;0.68
"HRS";"Harris Corporation";"Information Technology";152.79;-0.15031432;828664;4.211;2.2
"HSIC";"Henry Schein";"Health Care";72.18;0.59930354;2295407;3.477;NA
"HST";"Host Hotels & Resorts";"Real Estate";19.42;-0.51229703;9087667;0.809;0.8
"HSY";"The Hershey Company";"Consumer Staples";99.78;0.110364825;1234100;3.66;2.548
"HUM";"Humana Inc.";"Health Care";267.05;0.6520354;1012137;16.81;1.6
"IBM";"International Business Machines";"Information Technology";151.4;1.2641292;5881377;6.135;5.9
"ICE";"Intercontinental Exchange";"Financials";68.6;0.21914029;4173510;4.23;0.8
"IDXX";"IDEXX Laboratories";"Health Care";175.06;1.2200061;421891;2.94;NA
"IFF";"Intl Flavors & Fragrances";"Materials";142.42;1.4387496;271004;5.217;2.61
"ILMN";"Illumina Inc";"Health Care";221.03;1.7680354;1000033;4.92;NA
"INCY";"Incyte";"Health Care";87.52;3.5739605;1745137;-0.777;NA
"INFO";"IHS Markit Ltd.";"Industrials";45.21;2.031139;2525400;1;NA
"INTC";"Intel Corp.";"Information Technology";44.83;2.0022779;28379521;1.99;1.077
"INTU";"Intuit Inc.";"Information Technology";159.38;1.4771472;1484763;3.777;1.41
"IP";"International Paper";"Materials";57.88;1.1888118;2578879;5.131;1.863
